Data;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31
01/09/2015;0;0;0;12,1;4,9;0;0;67;0,4;0;24,5;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;25,3;0;21,3;0;7,9;
01/08/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,4;0;0;0;0;1,8;5,2;0;16,1;0;0;0;0
01/07/2015;0;0;0;29,5;0;0;1,7;6,4;0;0;30,6;21,3;14,7;0;0;0;9,5;0;0;0;6;0;0;0;18,4;0;0;0;0;0;0
01/06/2015;0;0;0;0;0;0;0;0;0;0;0;0;24,5;0;4,2;0;0;0;12,5;0;0;0;0;0;0;0;0;0;0;0;
01/05/2015;0;0;0;25,3;0;0;0;0;0;35,6;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,8;0;6,9;0;0;2,9
01/04/2015;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,4;23,6;3,4;0;0;0;2,3;0;0;0;
01/03/2015;0;0;0;0;0;0;7,9;5,4;0;0;0;13,1;3,8;0;5,7;5,9;0;2,4;0;3,7;0;0,6;0;0;0;0;0;33,2;13,9;15,3;0
01/02/2015;0;0;0;3,2;11,7;0;0;0;0;0;7,1;0;0;32,4;25,1;2,2;5,2;17,9;19,6;0;0;0;0;0;0;0;15,1;0;;;
01/01/2015;0;0;23,5;0;0;0;0;21,6;4,2;0;0;0;3,6;33,7;0;0;0;0;6,1;0;30,8;2,7;0;0;0;37,1;0;0;7,9;2,1;5,1
01/12/2014;0;0;0;0;6,5;0;0;0;0;32,1;9,7;0;43,8;9,2;0;0;0;0;0;6,1;0;0;53,9;2,9;13,2;0;0;0;8,2;14,1;12,7
