EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2448035;1;01/09/2018;1;13,6;40;5;6;1;1;1;;0;0;0;6,4;1;13,6;0;0;0;0;0;0;0;0;0;0;13,5;0;0;0;2,5;0;0;0;0;0;0;0;3;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2448035;1;01/08/2018;1;27,5;38,2;25;5;1;1;1;;0;0;0;1,9;0;0;6,3;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,3;0;0;27,5;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/07/2018;1;11,6;11,6;31;1;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/06/2018;1;9,6;56,8;2;14;1;1;1;;0;0;9,6;5,1;2,3;6,4;9,2;3,4;1,4;2;0;0;0;4,7;2,1;4,5;3,1;0;1,3;0;0;0;0;0;0;0;0;1,7;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2448035;1;01/05/2018;1;37,6;39;19;3;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,6;0,2;0;0;0;1,2;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/04/2018;1;36,3;51,6;2;4;1;1;1;;0;0;36,3;0;0;3,2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,1;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2448035;1;01/03/2018;1;42,1;120,9;20;13;1;1;1;;0;0;3,4;0,2;5,9;0;0;3,9;0,5;0;0;0;0;0;0;4,9;14,1;0;0;0;42,1;7,3;0;0;0;25,4;0;1,2;5,8;0;0;6,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/02/2018;1;30,1;57,9;13;8;1;1;1;;0;0;0;2,1;0;0;0;0;0;3,1;0;12,4;0;30,1;1,5;0;0;0;0;0;0;0;7,5;0;0,6;0;0;0,6;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;;
2448035;1;01/01/2018;1;61;259,8;26;24;1;1;1;;0;41,9;6,5;0;2,9;0;0;5,7;3,4;2,9;0,5;0;0;15,2;1;0,8;19,3;3,8;10,5;20,3;23,1;0;0;2,1;2,8;9;61;11,6;0,2;10,1;4,7;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/09/2017;1;18,2;18,2;30;1;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2448035;1;01/08/2017;1;40,1;73,9;20;7;1;1;1;;0;0;0;3,1;0;0;0;0;0;0;0;0;0;6,7;1,2;5,3;0;0;0;16,2;40,1;1,3;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/07/2017;1;11,2;11,8;17;2;1;1;1;;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/06/2017;1;39,3;126,2;5;7;1;1;1;;0;23,1;0;0;0;39,3;19,9;23,4;0;3,2;0;0;0;1,2;0;0;0;0;0;0;16,1;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2448035;1;01/05/2017;1;43,9;85,4;19;5;1;1;1;;0;0;0;0;0;0;9,5;0;0;0;0;0;0;0;0;0;0;0;0;43,9;3;0;20;0;0;0;0;0;0;0;9;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2448035;1;01/04/2017;1;23,5;81,4;22;6;1;1;1;;0;0,1;0;0;0;0;13,3;20,1;0;0;2,3;0;0;0;0;0;0;0;0;0;0;0;23,5;0;0;0;22,1;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
